CPB;titulo;categoria;n_chamadas_fsa;todas_chamadas;todos_valores;tem_complementacao;tem_comercializacao;cat_nova;motivo_cat;cat_antiga;reclassificada
B1900461300000;O HOMEM CORDIAL;FSA SAV/MINC / Arranjos Regionais;4;ARRANJOS REGIONAIS|PRODECINE 02|COMERCIALIZAÇÃO EM CINEMA|PRODAV 06;1449875|510000|195000|65000;False;True;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900448300000;OLHAR SUBMERSO - NAUFRÁGIOS DE PERNAMBUCO;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;145509;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900179300000;OLHOS DE FOGO;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;33333;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900235200000;ORQUESTRA DO MUNDO - RIO SÃO FRANCISCO;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;226000;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900421600000;OS BRAVOS NUNCA SE CALAM;FSA SAV/MINC / Arranjos Regionais;2;ARRANJOS REGIONAIS|COMERCIALIZAÇÃO EM CINEMA;300000|200000;False;True;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900489000000;OS HERDEIROS;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;85504;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900146900000;OS KONSIDERADOS;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;666667;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900350600000;PARQUE OESTE;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;200000;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900570100000;QUEM TEM MEDO DE LUCIENE CARVALHO?;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;400000;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900507200000;QUERÊNCIA;FSA SAV/MINC / Arranjos Regionais;2;ARRANJOS REGIONAIS|PRODAV 07;450000|250000;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900336500000;SEU AMOR DE VOLTA (MESMO QUE ELE NÃO QUEIRA);FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;150000;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900197900000;TABUH!;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;399967;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900397800000;UM PEIXE PARA DOIS;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;100000;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B1900590100000;VILA MARIOTE;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;300000;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B2000223500000;80 ANOS;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;225800;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B2000294200000;A ESPERA DE LIZ;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;173411;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B2000523200000;A MESMA PARTE DE UM HOMEM;FSA SAV/MINC / Arranjos Regionais;2;ARRANJOS REGIONAIS|PRODECINE 04;1000000|774289;True;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B2000096300000;A MORTE HABITA À NOITE;FSA SAV/MINC / Arranjos Regionais;2;ARRANJOS REGIONAIS|PRODAV 06;501044|200000;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B2000264700000;A TRADICIONAL FAMÍLIA BRASILEIRA - KATU;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;33333;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B2000096500000;ACQUA MOVIE;FSA SAV/MINC / Arranjos Regionais;3;ARRANJOS REGIONAIS|PRODAV 07|PRODAV 06;1000000|470000|300000;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B2000255200000;ATRAS DA SOMBRA;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;900000;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
B2000495400000;CAMINHO DE VOLTA;FSA SAV/MINC / Arranjos Regionais;1;ARRANJOS REGIONAIS;328606;False;False;Arranjos Regionais;maior chamada de produção;Arranjos Regionais;False
