cnpj_produtora,razao,n_obras,fsa_total_mi,inv_total_mi,publico_total,publico_med,renda_total_mi,efic,pct_cinema,pct_intl,admissoes_eu,critica_med,uf,cluster,cluster_label
23.315.965/0001-79,JPL PRODUÇÕES LTDA -ME,4,1.9799310879999998,1.9799310879999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.708,BA,2.0,Baixo retorno / nicho
07.627.467/0001-05,WRITE PRODUÇÕES ARTÍSTICAS LTDA,2,1.9787209273700002,1.9787209273700002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.885,SP,2.0,Baixo retorno / nicho
15.089.868/0001-87,STO LAT PRODUCOES CULTURAIS EIRELI ­ ME,2,1.96135425,1.96135425,1782.0,891.0,0.017988220000000003,1140.3588982006868,100.0,100.0,0.0,3.89,PR,1.0,Prestígio internacional
64.047.665/0001-33,ÁFRICA FILMES LTDA,2,1.9418778829999999,1.9376168830000005,35117.0,17558.5,0.45586948000000005,32748.15842654249,100.0,50.0,28144.0,3.66,SP,3.0,Comerciais de sala
12.827.703/0001-77,DOIS PLÁTANOS PRODUÇÕES CINEMATOGRÁFICAS LTDA,1,1.9331143,1.9331143,258.0,258.0,0.005528109999999999,133.46339634443757,100.0,0.0,0.0,3.89,SC,,Emergentes / micro
08.112.710/0001-15,BESOURO FILMES LTDA.,3,1.92808122,1.92808122,918.0,918.0,0.009867319999999999,1254.7678924611757,33.33333333333333,66.66666666666666,0.0,3.89,RS,3.0,Comerciais de sala
04.098.427/0001-25,SOUL FILMES LTDA - ME,3,1.9277079471108498,1.9277079471108498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.89,RJ,2.0,Baixo retorno / nicho
04.178.239/0001-07,ALUMIA PRODUCAO DE FILMES LTDA,3,1.8004299995936002,1.8726500495936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.89,PE,2.0,Baixo retorno / nicho
06.905.794/0001-19,AC CAVALCANTE SERVIÇOS LTDA.,3,1.86238338452838,1.86238338452838,154.0,154.0,0.00177341,177.6976522909266,33.33333333333333,0.0,0.0,4.027,PE,0.0,Produção para TV/VoD
06.975.561/0001-92,VAGALUZES FILMES LTDA,1,1.85876375,1.85876375,135.0,135.0,0.00163284,72.62891801069394,100.0,0.0,0.0,4.223,SC,,Emergentes / micro
12.380.610/0001-47,PARAKINO PRODUCOES LTDA.,1,1.85876375,1.85876375,282.0,282.0,0.002803,151.71373984456065,100.0,0.0,0.0,3.89,SP,,Emergentes / micro
05.609.007/0001-29,SAMBA FILMES LTDA,1,1.85876375,1.85876375,256.0,256.0,0.0029425500000000004,137.72594822768627,100.0,0.0,0.0,3.89,RJ,,Emergentes / micro
17.698.485/0001-31,A J MENDES DOS SANTOS - ME,1,1.85876375,1.85876375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.89,AM,,Emergentes / micro
15.830.015/0001-54,"PATIO VAZIO PRODUÇÕES CINEMATOGRÁFICAS, ARTÍSTICAS E CULTURAIS LTDA - ME",1,1.85876375,1.85876375,274.0,274.0,0.00328076,147.40980396244547,100.0,0.0,0.0,4.0,RS,,Emergentes / micro
10.473.332/0001-47,ODUN PRODUÇÃO DE BENS CULTURAIS LTDA,1,1.85876375,1.85876375,27.0,27.0,0.0005873300000000001,14.525783602138787,100.0,0.0,0.0,4.123,SP,,Emergentes / micro
17.219.542/0001-52,PIRA FILMES E PRODUCOES LTDA,2,1.85413928,1.85413928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.25,GO,2.0,Baixo retorno / nicho
13.622.499/0001-10,CINEMATOGRÁFICA PATA NEGRA LTDA,1,0.863953391,1.8414982187351603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.89,RS,,Emergentes / micro
