cpb,titulo_original,ano_ref,ano_producao_inicial,uf_requerente,segmento_destinacao_inicial,tipo_obra,familia_chamada,chamada_publica,coproducao_internacional,valor_contrato_brl,n_contratos_fsa,fator_real_2024,valor_contrato_r2024,valor_fsa_r2024,inv_fsa_r2024,inv_renuncia_r2024,tem_renuncia,publico_domestico,chegou_cinema,publico_por_milhao_r2024,renda_total,sessoes_total,n_municipios,eventos_intl,pontos_intl,fest_pontuacao,fest_n,admissoes_europa,vod_eu_presencas,cartaz_eua,cartaz_asia,intl_n_mercados,desempenho_internacional,intl_n_sinais,tem_internacional,n_canais_intl,vod_paises,critica_indice_1_5,imdb_rating,imdb_n_votos,tem_critica,tem_imdb
B1900272800000,UMA BAÍA,2013,2019,RJ,SALAS DE EXIBIÇÃO,DOCUMENTÁRIO,PRODECINE,PRODECINE 05,False,600000.0,2,1.861311,1069874.9,1116786.5999999999,1069874.9,0.0,False,321.0,True,300.03507886763214,4812.94,63.0,10.0,,,12.0,3.0,,,False,False,0,2.4,1,True,,,,,,False,False
B1301773400000,SOMOS TÃO JOVENS,2008,2011,RJ,INDEFINIDO,FICÇÃO,PRODECINE,PRODECINE 01,False,690794.0,2,2.454812,6787021.074109999,1695769.400728,1603521.07411,5183500.0,True,40.0,True,5.893601856134698,18254049.24,1.0,1.0,,,,,,,False,False,0,0.0,0,False,,,4.0,6.5,2684.0,True,True
B1500650100000,MERCADOS,2010,2015,RJ,RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA),DOCUMENTÁRIO,PRODAV,PRODAV 01,False,500000.0,1,2.222058,1111029.0,1111029.0,1111029.0,0.0,False,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,,,,False,False
B2000040200000,SOLTEIRA QUASE SURTANDO,2016,2020,RJ,SALAS DE EXIBIÇÃO,FICÇÃO,PRODECINE,PRODECINE 01,False,500000.0,1,1.487011,2974022.0,743505.5,743505.5,2230516.5,True,20935.0,True,7039.288882193877,332072.82,5015.0,123.0,,,,,,,False,False,0,0.0,0,False,,,,6.7,53.0,False,True
B1600241200000,MINHA TRIBO,2010,2015,SP,RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA),VARIEDADES,PRODAV,PRODAV 01,False,500000.0,1,2.222058,1111029.0,1111029.0,1111029.0,0.0,False,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,,,,False,False
B1101490400000,MEU PAÍS,2009,2011,SP,INDEFINIDO,FICÇÃO,PRODECINE,PRODECINE 01,False,500000.0,1,2.353382,3318597.56,1176691.0,1176691.0,2141906.56,True,,False,0.0,,,,,,,,,,True,False,1,6.67,0,False,,,,6.1,336.0,False,True
B2500366400000,ESCRITORAS E CIDADES,2018,2025,RS,COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA),DOCUMENTÁRIO,ARRANJOS,ARRANJOS REGIONAIS,False,500000.0,1,1.392194,696097.0,696097.0,696097.0,0.0,False,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,,,,False,False
B1700339700000,HISTORIETAS ASSOMBRADAS - O FILME,2016,2017,SP,SALAS DE EXIBIÇÃO,ANIMAÇÃO,PRODECINE,PRODECINE 03,False,500000.0,1,1.487011,3198317.5,743505.5,743505.5,2454812.0,True,35878.0,True,11217.77309475998,474638.76,6751.0,84.0,,,4.0,1.0,,,False,False,0,0.8,1,True,,,3.3,7.0,223.0,True,True
B2000160000000,SOL ALEGRIA,2014,2020,PB,SALAS DE EXIBIÇÃO,FICÇÃO,ARRANJOS,ARRANJOS REGIONAIS,False,500000.0,1,1.749188,874594.0,874594.0,874594.0,0.0,False,148.0,True,169.22137586125677,810.5,6.0,1.0,,,,,,,False,False,0,0.0,0,False,,,3.88,5.3,283.0,True,True
B1301732600000,AOS VENTOS QUE VIRÃO,2009,2012,SP,INDEFINIDO,FICÇÃO,PRODECINE,PRODECINE 01,False,500000.0,1,2.353382,2477551.0,1176691.0,1176691.0,1300860.0,True,1990.0,True,803.2125272093289,22420.46,,,,,,,,,False,False,0,0.0,0,False,,,,5.9,10.0,False,True
B1500711400000,BEATRIZ,2010,2015,RJ,SALAS DE EXIBIÇÃO,FICÇÃO,PRODECINE,PRODECINE 01,True,1000000.0,2,2.222058,4174878.5900000003,2222058.0,2338435.0,949999.99,True,1217.0,True,291.5054830372923,16102.63,195.0,8.0,,,,,,,False,False,0,0.0,1,True,2.0,0.0,2.998,,,True,False
B1800245900000,O JUÍZO,2018,2017,RJ,SALAS DE EXIBIÇÃO,FICÇÃO,CINEMA,COMERCIALIZAÇÃO EM CINEMA,False,500000.0,1,1.392194,8187094.0,696097.0,696097.0,7490997.0,True,11561.0,True,1412.100557291757,192240.03,2674.0,24.0,,,,,,,False,False,0,0.0,0,False,,,,5.3,146.0,False,True
B1800494000000,BEIÇO DE ESTRADA,2014,2018,PB,SALAS DE EXIBIÇÃO,FICÇÃO,ARRANJOS,ARRANJOS REGIONAIS,False,500000.0,1,1.749188,874594.0,874594.0,874594.0,0.0,False,21.0,True,24.01114116950265,186.0,2.0,1.0,,,,,,,False,False,0,0.0,0,False,,,3.6,,,True,False
B1900093000000,A JANGADA DE WELLES,2014,2019,CE,SALAS DE EXIBIÇÃO,DOCUMENTÁRIO,PRODAV,PRODAV 07,False,500000.0,1,1.749188,874594.0,874594.0,874594.0,0.0,False,1014.0,True,1159.3951021845564,11426.29,133.0,10.0,,,10.5,7.0,,,False,False,0,2.1,1,True,,,,7.0,50.0,False,True
B2100219200000,PAULO CÉSAR PINHEIRO - LETRA E ALMA,2016,2021,SP,COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA),DOCUMENTÁRIO,PRODAV,PRODAV 02 - PROJETO DERIVADO,False,500000.0,1,1.487011,743505.5,743505.5,743505.5,0.0,False,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,4.003,7.8,8.0,True,True
B2100153600000,VENTOS QUE SOPRAM - PARÁ,2013,2021,DF,COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA),DOCUMENTÁRIO,PRODAV,PRODAV 01,False,500000.0,1,1.861311,930655.5,930655.5,930655.5,0.0,False,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,,,,False,False
B1301769500000,VENDO OU ALUGO,2010,2013,BA,INDEFINIDO,FICÇÃO,PRODECINE,PRODECINE 01,False,500000.0,1,2.222058,3505661.36,1111029.0,1111029.0,2394632.36,True,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,,5.3,256.0,False,True
B2300486300000,"VELHO CHICO, A ALMA DO POVO XOKÓ",2018,2023,SE,RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA),DOCUMENTÁRIO,FLUXO CONTINUO,FLUXO CONTÍNUO PRODUÇÃO PARA TELEVISÃO,False,500000.0,1,1.392194,696097.0,696097.0,696097.0,0.0,False,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,,,,False,False
B1800121800000,A CHAVE - 2ª TEMPORADA,2013,2018,BA,RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA),DOCUMENTÁRIO,PRODAV,PRODAV 01,False,500000.0,1,1.861311,930655.5,930655.5,930655.5,0.0,False,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,,,,False,False
B2000230900000,DESVIO,2014,2019,PB,SALAS DE EXIBIÇÃO,FICÇÃO,ARRANJOS,ARRANJOS REGIONAIS,False,500000.0,1,1.749188,874594.0,874594.0,874594.0,0.0,False,80.0,True,91.47101397905772,650.07,51.0,4.0,,,,,,,False,False,0,0.0,0,False,,,,5.8,21.0,False,True
B2400096900000,PARA VER FREUD,2018,2024,RJ,COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA),DOCUMENTÁRIO,FLUXO CONTINUO,FLUXO CONTÍNUO PRODUÇÃO PARA TELEVISÃO,False,500000.0,1,1.392194,696097.0,696097.0,696097.0,0.0,False,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,,,,False,False
B1700110500000,A CARA DO FUTURO,2013,2016,SC,RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA),DOCUMENTÁRIO,PRODAV,PRODAV 01,False,500000.0,1,1.861311,930655.5,930655.5,930655.5,0.0,False,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,4.062,,,True,False
B1500758100000,AS AVENTURAS DO HOMEM CUECA,2012,2015,SP,RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA),ANIMAÇÃO,PRODAV,PRODAV 01,False,500000.0,1,1.971315,1392301.3241443501,985657.5,985657.5,406643.82414435,True,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,2.5,,,True,False
B2300563100000,TERCEIRO GOLEIRO,2018,2023,RJ,COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA),FICÇÃO,FLUXO CONTINUO,FLUXO CONTÍNUO PRODUÇÃO PARA TELEVISÃO,False,500000.0,1,1.392194,696097.0,696097.0,696097.0,0.0,False,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,,,,False,False
B2300440000000,A ÉTICA DO SILÊNCIO,2017,2023,RJ,COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA),DOCUMENTÁRIO,PRODAV,PRODAV 06,False,500000.0,1,1.444401,722200.5,722200.5,722200.5,0.0,False,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,4.1,,,True,False
B2400124700000,TERRITÓRIOS NEGROS,2016,2024,BA,SALAS DE EXIBIÇÃO,DOCUMENTÁRIO,PRODAV,PRODAV 02 - PROJETO DERIVADO,False,500000.0,1,1.487011,743505.5,743505.5,743505.5,0.0,False,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,,,,False,False
B1600659200000,TERRA PROMETIDA,2009,2015,RJ,COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA),DOCUMENTÁRIO,PRODAV,PRODAV 01,False,500000.0,1,2.353382,1176691.0,1176691.0,,,False,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,3.277,,,True,False
B1600084700000,TERRA PROMETIDA,2009,2015,RJ,RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA),DOCUMENTÁRIO,PRODAV,PRODAV 01,False,500000.0,1,2.353382,3367451.90827122,1176691.0,1176691.0,2190760.90827122,True,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,3.277,,,True,False
B1700615400000,O DESMONTE DO MONTE,2014,2017,SP,SALAS DE EXIBIÇÃO,DOCUMENTÁRIO,PRODAV,PRODAV 07,False,600000.0,2,1.749188,1023295.1,1049512.8,1023295.1,0.0,False,5121.0,True,5004.421500699065,69773.28,193.0,3.0,,,10.5,5.0,,,False,False,0,2.1,1,True,,,,6.5,44.0,False,True
B1301902100000,""" A PRIMEIRA MISSA""",2010,2013,RJ,SALAS DE EXIBIÇÃO,FICÇÃO,PRODECINE,PRODECINE 01,True,500000.0,1,2.222058,3161029.0,1111029.0,1111029.0,1900000.0,True,583.0,True,184.4336132316407,6889.91,,,,,,,,,False,False,0,0.0,1,True,2.0,0.0,4.348,6.5,72.0,True,True
B1402123800000,VISCERAL BRASIL - AS VEIAS ABERTAS DA MÚSICA,2010,2013,SP,INDEFINIDO,DOCUMENTÁRIO,PRODAV,PRODAV 01,False,500000.0,1,2.222058,2784041.65611486,1111029.0,1111029.0,1673012.65611486,True,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,4.05,,,True,False
B2000375500000,EM BUSCA DE CARLOS ZÉFIRO,2013,2020,RJ,COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA),DOCUMENTÁRIO,PRODAV,PRODAV 01,False,500000.0,1,1.861311,930655.5,930655.5,930655.5,0.0,False,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,2.6,7.5,17.0,True,True
B2000556100000,FAVELA É MODA,2013,2020,RJ,COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA),DOCUMENTÁRIO,PRODAV,PRODAV 01,False,500000.0,1,1.861311,930655.5,930655.5,930655.5,0.0,False,,False,0.0,,,,,,,,,,False,False,0,0.0,0,False,,,,6.1,11.0,False,True
B1201573200000,FEBRE DO RATO,2008,2011,RJ,INDEFINIDO,FICÇÃO,PRODECINE,PRODECINE 01,False,500000.0,1,2.454812,3898953.3514799997,1227406.0,1227406.0,2671547.35148,True,1064.0,True,272.8937497023701,260982.58,1.0,1.0,,,,,,,False,False,0,0.0,0,False,,,3.9,,,True,False
