k_tit,titulo,admissoes_europa,vod_presencas,vod_paises,n_festival_atas,tem_coproducao,tem_ibermedia,cpb,n_apoio_festival,n_canais_intl
quebrando o tabu,Quebrando o Tabu,0.0,5.0,2.0,0.0,0.0,0.0,,0,1
queen live in rio,Queen Live in Rio,0.0,23.0,22.0,0.0,0.0,0.0,,0,1
rifle,Rifle,0.0,1.0,1.0,0.0,0.0,0.0,,0,1
rio sex comedy,Rio Sex Comedy,0.0,27.0,5.0,0.0,0.0,0.0,,0,1
rojo,Rojo,0.0,47.0,13.0,0.0,0.0,0.0,,0,1
ronde de nuit,Ronde de nuit,0.0,1.0,1.0,0.0,0.0,0.0,,0,1
rosa morena,Rosa morena,0.0,41.0,28.0,0.0,0.0,0.0,,0,1
rouge bresil,Rouge Brésil,0.0,1.0,1.0,0.0,0.0,0.0,,0,1
russa,Russa,0.0,28.0,27.0,0.0,0.0,0.0,,0,1
saint clair cemin psyche,"Saint Clair Cemin, Psyche",0.0,4.0,4.0,0.0,0.0,0.0,,0,1
samba,Samba,0.0,4.0,3.0,0.0,0.0,1.0,,0,2
sambolico,Sambolico,0.0,1.0,1.0,0.0,0.0,0.0,,0,1
sangre,Sangre,0.0,14.0,3.0,0.0,0.0,0.0,,0,1
save the tree,Save the Tree,0.0,2.0,1.0,0.0,0.0,0.0,,0,1
sea princesses,Sea Princesses,0.0,4.0,2.0,0.0,0.0,0.0,,0,1
sean connery vs james bond,Sean Connery vs James Bond,0.0,6.0,6.0,0.0,0.0,0.0,,0,1
segredos da tribo,Segredos da Tribo,0.0,63.0,28.0,0.0,0.0,0.0,,0,1
separado,Separado!,0.0,3.0,2.0,0.0,0.0,0.0,,0,1
shine your eyes,Shine Your Eyes,0.0,31.0,24.0,0.0,0.0,0.0,,0,1
si tu vas a rio tu meurs,Si tu vas à Rio... tu meurs,0.0,5.0,1.0,0.0,0.0,0.0,,0,1
sideral,Sideral,0.0,2.0,1.0,0.0,0.0,0.0,,0,1
sobreviventes,Sobreviventes,0.0,1.0,1.0,0.0,0.0,0.0,,0,1
sonhar com leoes,Sonhar com Leões,0.0,1.0,1.0,0.0,0.0,0.0,,0,1
steak,Steak,0.0,13.0,4.0,0.0,0.0,0.0,,0,1
streetkids united ii the girls from rio,Streetkids United II: The Girls From Rio,0.0,29.0,24.0,0.0,0.0,0.0,,0,1
sur le chemin de l ecole,Sur le chemin de l'école,0.0,38.0,9.0,0.0,0.0,0.0,,0,1
survivor,Survivor,0.0,1.0,1.0,0.0,0.0,0.0,,0,1
swimming home,Swimming Home,0.0,38.0,15.0,0.0,0.0,0.0,,0,1
