chamada,valor_mi,legado_cat,meu_automatismo,esperado_automatismo,meu_criterio,esperado_criterio,meu_elo,esperado_elo,meu_destino,esperado_destino,meu_macro,origem,status,divergencias,fonte_oficial
SAV/MINC 01,30.0,SAV,seletivo_leitura,seletivo_leitura,nao_aplica,nao_aplica,comissao,comissao,Outros,,SAV,auto,confere,,https://www.gov.br/ancine/pt-br (SAV/MinC — editais regionais)
SAV/MINC 11,26.6,SAV,seletivo_leitura,seletivo_leitura,nao_aplica,nao_aplica,comissao,comissao,Outros,,SAV,auto,confere,,https://www.gov.br/ancine/pt-br (SAV/MinC — editais regionais)
PRODAV 11,23.9,_tv_excluir,seletivo_leitura,,nao_aplica,,produtora,,TV,,FSA TV,auto,tv_so_web,Legado excluiu TV — verificar por BRDE/Cainan,https://brde.com.br/producao/ (FSA › Produção TV/VOD)
PRODAV 10,23.9,_tv_excluir,seletivo_leitura,,nao_aplica,,produtora,,TV,,FSA TV,auto,tv_so_web,Legado excluiu TV — verificar por BRDE/Cainan,https://brde.com.br/producao/ (FSA › Produção TV/VOD)
PRODAV 08,23.8,_tv_excluir,seletivo_leitura,,nao_aplica,,produtora,,TV,,FSA TV,auto,tv_so_web,Legado excluiu TV — verificar por BRDE/Cainan,https://brde.com.br/producao/ (FSA › Produção TV/VOD)
PRODAV 09,23.8,_tv_excluir,seletivo_leitura,,nao_aplica,,produtora,,TV,,FSA TV,auto,tv_so_web,Legado excluiu TV — verificar por BRDE/Cainan,https://brde.com.br/producao/ (FSA › Produção TV/VOD)
COMERCIALIZAÇÃO EM CINEMA,23.8,Comercializacao,comercializacao,comercializacao,bilheteria,,produtora,,Cinema,Cinema,FSA Cinema,auto,confere,,https://brde.com.br/fsa/chamada-publica-brde-fsa-cinema-via-distribuidora-2022/
PRODAV 12,23.8,_tv_excluir,seletivo_leitura,,nao_aplica,,produtora,,TV,,FSA TV,auto,tv_so_web,Legado excluiu TV — verificar por BRDE/Cainan,https://brde.com.br/producao/ (FSA › Produção TV/VOD)
PRODECINE 03,21.7,Comercializacao,comercializacao,comercializacao,nao_aplica,,produtora,,Cinema,Cinema,FSA Cinema,auto,confere,,https://brde.com.br/producao/ (FSA › Produção Cinema)
SAV/MINC 03,20.9,SAV,seletivo_leitura,seletivo_leitura,nao_aplica,nao_aplica,comissao,comissao,Outros,,SAV,auto,confere,,https://www.gov.br/ancine/pt-br (SAV/MinC — editais regionais)
PRODAV 05,19.3,_tv_excluir,seletivo_leitura,,nao_aplica,,produtora,,TV,,FSA TV,auto,tv_so_web,Legado excluiu TV — verificar por BRDE/Cainan,https://brde.com.br/producao/ (FSA › Produção TV/VOD)
PRODAV 14,19.0,_tv_excluir,seletivo_leitura,,nao_aplica,,produtora,,TV,,FSA TV,auto,tv_so_web,Legado excluiu TV — verificar por BRDE/Cainan,https://brde.com.br/producao/ (FSA › Produção TV/VOD)
COPRODUÇÃO INTERNACIONAL,18.0,Coprod,seletivo_leitura,seletivo_leitura,nao_aplica,nao_aplica,produtora,produtora,Cinema,Cinema,Coprodução,auto,confere,,https://www.brde.com.br/fsa/chamadas-de-investimento/chamadas-publicas/
DESEMPENHO COMERCIAL,17.9,Auto_Bilh,automatico,automatico,bilheteria,bilheteria,produtora,produtora,Cinema,Cinema,FSA Cinema,auto,confere,,https://www.brde.com.br/chamada-publica-brde-fsa-cinema-desempenho-comercial-2022/
SUPORTE AUTOMÁTICO - DESEMPENHO ARTÍSTICO,17.2,Auto_Fest,automatico,automatico,festivais,festivais,produtora,produtora,Cinema,Cinema,FSA Cinema,auto,confere,,https://www.brde.com.br/fsa/chamadas-de-investimento/chamadas-publicas/suporte-automatico/
PRODUÇÃO TV/VOD - NOVOS REALIZADORES,16.4,_tv_excluir,seletivo_leitura,,nao_aplica,,produtora,,TV,,FSA TV,auto,tv_so_web,Legado excluiu TV — verificar por BRDE/Cainan,https://www.brde.com.br/wp-content/uploads/2022/09/Ata-Resultado-Preliminar_Cinema-Novos-Realizadores_02.09.2022-publicacao.pdf
SAV/MINC 13,16.1,SAV,seletivo_leitura,seletivo_leitura,nao_aplica,nao_aplica,comissao,comissao,Outros,,SAV,auto,confere,,https://www.gov.br/ancine/pt-br (SAV/MinC — editais regionais)
