CPB;titulo;ano;cat;instrumento;critica_indice_1_5;critica_n_fontes;cita_n_papers;cita_soma_cit;IMDB_VOTES;qid;L;L_nonpten;pv2024;sitelinks
B2300567400000;O POLICIAL E A PASTORA;2023;Arranjos Regionais;FSA puro;3.4;1;2.0;2.0;;;0;0;0;0
B2300201900000;O SILÊNCIO DAS OSTRAS;2023;Arranjos Regionais;FSA puro;4.1;1;;;35.0;Q133733371;1;1;0;2
B2300500100000;O SILÊNCIO DE EVA;2023;Arranjos Regionais;FSA puro;4.1;1;0.0;;;;0;0;0;0
B2300546600000;OPARÁ;2023;Arranjos Regionais;Misto FSA+Renúncia;0.0;0;2.0;2.0;;;0;0;0;0
B2300488500000;PALAVRA PRESA;2023;Arranjos Regionais;FSA puro;0.0;0;;;;;0;0;0;0
B2300499000000;PASTRANA;2023;Arranjos Regionais;FSA puro;0.0;0;;;;;0;0;0;0
B2300140800000;PRESENÇA;2023;Arranjos Regionais;Misto FSA+Renúncia;2.64;1;17.0;3.0;;;0;0;0;0
B2300535500000;PROCURA METEORANGO KID: VIVO OU MORTO;2023;Arranjos Regionais;Misto FSA+Renúncia;3.433;2;0.0;;;;0;0;0;0
B2300339000000;SÉRGIO RICARDO: UMA OUTRA HISTÓRIA DO CINEMA NOVO;2023;Arranjos Regionais;FSA puro;3.837;2;;;;;0;0;0;0
B2300141200000;TENHO FÉ;2023;Arranjos Regionais;Misto FSA+Renúncia;0.0;0;;;;;0;0;0;0
B2300035300000;URSA;2023;Arranjos Regionais;FSA puro;0.0;0;;;30.0;;0;0;0;0
B2300363900000;UTOPIA TROPICAL;2023;Arranjos Regionais;Misto FSA+Renúncia;0.0;0;;;23.0;;0;0;0;0
B2300011000000;ZÉ;2023;Arranjos Regionais;Misto FSA+Renúncia;3.732;2;;;;;0;0;0;0
B1600656800000;FIM DO MUNDO;2016;Add-on FSA (Compl./Comerc.);Misto FSA+Renúncia;3.195;2;;;;;0;0;0;0
B2100018500000;DETETIVES DO PRÉDIO AZUL 3 - UMA AVENTURA NO FIM DO MUNDO;2020;Add-on FSA (Compl./Comerc.);Misto FSA+Renúncia;4.3;1;;;157.0;Q83809958;2;1;7500;2
B2000230700000;NAS ONDAS DA FÉ;2020;Add-on FSA (Compl./Comerc.);Misto FSA+Renúncia;3.786;1;7.0;0.0;;;0;0;0;0
B2300374700000;DE REPENTE, MISS!;2023;Add-on FSA (Compl./Comerc.);FSA puro;4.095;2;;;84.0;;0;0;0;0
B2300247400000;MARINHEIRO DAS MONTANHAS;2023;Add-on FSA (Compl./Comerc.);Misto FSA+Renúncia;0.0;0;;;697.0;Q107555820;2;2;2345;2
B2300402000000;UMA FADA VEIO ME VISITAR;2023;Automático Bilheteria;Misto FSA+Renúncia;0.0;0;;;265.0;;0;0;0;0
B2300120800000;VAI TER TROCO;2023;Add-on FSA (Compl./Comerc.);FSA puro;3.32;1;;;71.0;Q119809423;1;0;4471;1
B1700411300000;MÚSICA PARA QUANDO AS LUZES SE APAGAM;2015;Arranjos Regionais;FSA puro;3.7;1;;;35.0;;0;0;0;0
B1600779300000;NÓIS POR NÓIS;2016;Add-on FSA (Compl./Comerc.);FSA puro;0.0;0;0.0;;;;0;0;0;0
B1800090200000;AÇUCAR;2017;Add-on FSA (Compl./Comerc.);Misto FSA+Renúncia;0.0;0;;;119.0;;0;0;0;0
B1900189100000;MISSÃO CUPIDO;2017;Arranjos Regionais;Misto FSA+Renúncia;0.0;0;;;;;0;0;0;0
B1800245900000;O JUÍZO;2017;Add-on FSA (Compl./Comerc.);Misto FSA+Renúncia;0.0;0;1.0;1.0;146.0;;0;0;0;0
B1800445500000;LOS SILENCIOS;2018;Add-on FSA (Compl./Comerc.);Misto FSA+Renúncia;0.0;0;0.0;;568.0;Q66823577;4;2;3742;4
B1800517200000;MEU NOME É DANIEL;2018;Add-on FSA (Compl./Comerc.);Misto FSA+Renúncia;3.857;2;0.0;;23.0;;0;0;0;0
B2000414400000;OLHA PRA ELAS;2020;Add-on FSA (Compl./Comerc.);Misto FSA+Renúncia;0.0;0;;;;;0;0;0;0
B2300077800000;ANTES QUE ME ESQUEÇAM MEU NOME É EDY STAR - O FILME;2023;Add-on FSA (Compl./Comerc.);FSA puro;3.3;1;;;;;0;0;0;0
B2300123500000;MADAME DUROCHER;2023;Arranjos Regionais;Misto FSA+Renúncia;2.9;1;0.0;;66.0;;0;0;0;0
B2300338800000;PÉROLA;2023;Add-on FSA (Compl./Comerc.);Misto FSA+Renúncia;4.305;2;;;123.0;Q123144487;1;0;18751;1
B2300261100000;RODEIO ROCK;2023;Add-on FSA (Compl./Comerc.);Misto FSA+Renúncia;0.0;0;;;353.0;Q117274052;2;0;17710;2
B2300551000000;SAUDOSA MALOCA;2023;Add-on FSA (Compl./Comerc.);FSA puro;4.165;2;;;354.0;Q131935679;1;0;0;1
B2100364800000;A MÃE;2021;Festivais · Pontuação;Misto FSA+Renúncia;4.115;2;1.0;0.0;73.0;Q111383054;1;0;1179;1
B2200124400000;ABESTALHADOS 2;2022;Festivais · Pontuação;Misto FSA+Renúncia;0.0;0;;;51.0;Q112073132;1;0;1200;1
B2200386600000;NA RÉDEA CURTA;2022;Festivais · Pontuação;FSA puro;0.0;0;36.0;14.0;21.0;Q116257958;1;0;949;1
B2200380100000;O PORÃO DA RUA DO GRITO;2022;Festivais · Pontuação;Misto FSA+Renúncia;3.88;1;;;;;0;0;0;0
B2300001100000;REGRA 34;2022;Festivais · Pontuação;FSA puro;2.47;2;;;581.0;Q113509882;4;2;56514;4
B2200243000000;SINFONIA DE UM HOMEM COMUM;2022;Festivais · Pontuação;Misto FSA+Renúncia;4.1;1;;;48.0;;0;0;0;0
B2400339600000;A VILÃ DAS NOVE;2023;Festivais · Pontuação;Misto FSA+Renúncia;3.965;2;;;144.0;;0;0;0;0
B2300201800000;JANGO NO EXÍLIO;2023;Festivais · Pontuação;FSA puro;4.3;1;;;;;0;0;0;0
B2300065800000;O CIRCO VOLTOU;2023;Festivais · Pontuação;FSA puro;1.7;1;0.0;;;;0;0;0;0
B2300121300000;O PASTOR E O GUERRILHEIRO;2023;Festivais · Pontuação;FSA puro;3.902;2;;;177.0;;0;0;0;0
B2300303300000;TPM! MEU AMOR;2023;Festivais · Pontuação;Misto FSA+Renúncia;4.3;1;4.0;3.0;50.0;Q120695224;1;0;2852;1
B2200457400000;NOVO MUNDO, PINTURA DE RUA NA AMÉRICA LATINA;2022;Coprodução Intl;FSA puro;4.1;1;;;;;0;0;0;0
B2300240900000;AMOR REBELDE;2023;Coprodução Intl;Misto FSA+Renúncia;4.3;1;;;9.0;;0;0;0;0
B2300491600000;LA OTRA FORMA;2023;Coprodução Intl;FSA puro;0.0;0;;;188.0;Q117574681;2;1;9414;2
B2300527400000;PUAN;2023;Coprodução Intl;FSA puro;0.0;0;;;1933.0;Q120493923;4;3;100041;4
B2000497700000;ABE;2020;Automático Bilheteria;Misto FSA+Renúncia;0.0;0;;;2662.0;Q85347417;7;5;32077;7
B2000154900000;ALICE JÚNIOR;2020;Automático Bilheteria;FSA puro;3.39;2;;;702.0;Q96099772;4;2;5390;4
B2000070300000;DOIS MAIS DOIS;2020;Automático Bilheteria;Misto FSA+Renúncia;3.775;1;;;94.0;Q108088079;1;0;3300;1
B2000259000000;ZONA ÁRIDA;2020;Automático Bilheteria;FSA puro;0.0;0;;;;;0;0;0;0
B2100065700000;A ÚLTIMA FLORESTA;2021;Automático Bilheteria;FSA puro;3.538;1;;;744.0;Q107507005;3;2;3491;3
B2100306300000;ALDEIA NATAL;2021;Automático Bilheteria;FSA puro;0.0;0;0.0;;;;0;0;0;0
B2100113200000;L.O.C.A.;2021;Automático Bilheteria;Misto FSA+Renúncia;4.3;1;0.0;;42.0;Q108124284;1;0;0;1
B2100010700000;LOOP;2021;Automático Bilheteria;Misto FSA+Renúncia;3.356;1;3.0;1.0;363.0;Q107299910;1;0;3017;1
B2100259000000;MEDIDA PROVISÓRIA;2021;Automático Bilheteria;Misto FSA+Renúncia;4.039;2;;;2680.0;Q105999387;5;3;27544;5
B2100347700000;O JARDIM SECRETO DE MARIANA;2021;Automático Bilheteria;Misto FSA+Renúncia;4.273;2;;;28.0;Q108447783;1;0;1948;1
B2200063900000;1999 - A CONQUISTA DA AMÉRICA;2022;Automático Bilheteria;FSA puro;3.993;2;;;;;0;0;0;0
B2300468500000;A FILHA DO PALHAÇO;2022;Automático Bilheteria;FSA puro;3.97;2;;;149.0;;0;0;0;0
B2200343300000;A ÚLTIMA FESTA;2022;Automático Bilheteria;Misto FSA+Renúncia;4.7;1;;;40.0;;0;0;0;0
B2200299300000;CORDIALMENTE TEUS;2022;Automático Bilheteria;FSA puro;0.0;0;0.0;;28.0;Q114282407;1;0;412;1
B2200412200000;FAUSTO FAWCETT NA CABEÇA;2022;Automático Bilheteria;FSA puro;3.92;1;;;7.0;;0;0;0;0
B2300288600000;FORAM OS SUSSURROS QUE ME MATARAM;2022;Automático Bilheteria;FSA puro;0.0;0;5.0;3.0;13.0;;0;0;0;0
B2200089800000;O TRAIDOR;2022;Automático Bilheteria;Misto FSA+Renúncia;3.529;1;;;;;0;0;0;0
B2300008500000;VAI CORINTHIANS!;2022;Automático Bilheteria;Misto FSA+Renúncia;0.0;0;2.0;0.0;41.0;;0;0;0;0
B2300549200000;A ENTREGA;2023;Automático Bilheteria;FSA puro;3.923;2;0.0;;;;0;0;0;0
B2300212900000;MEU NOME É GAL;2023;Automático Bilheteria;Misto FSA+Renúncia;3.0;1;1.0;0.0;763.0;Q116778948;1;0;4980;1
B2300283600000;O VAZIO DE DOMINGO À TARDE;2023;Automático Bilheteria;Misto FSA+Renúncia;4.078;2;;;19.0;;0;0;0;0
B2300493100000;SOB A VERDE NEBULOSA;2023;Automático Bilheteria;FSA puro;2.4;1;;;;;0;0;0;0
B2000034100000;NO GOGÓ DO PAULINHO;2020;Automático Bilheteria;Misto FSA+Renúncia;3.673;2;;;335.0;Q106546955;1;0;9451;1
B2000502900000;QUEM VAI FICAR COM MÁRIO;2020;Automático Bilheteria;Misto FSA+Renúncia;3.835;2;;;682.0;Q107344698;1;0;6455;1
B2100036700000;O ESPAÇO INFINITO;2021;Automático Bilheteria;FSA puro;3.845;2;;;19.0;;0;0;0;0
B2200065000000;AMADO;2022;Automático Bilheteria;Misto FSA+Renúncia;3.63;2;2.0;0.0;148.0;;0;0;0;0
B2200349500000;TRÊS TIGRES TRISTES;2022;Automático Bilheteria;FSA puro;3.75;1;;;223.0;Q110828342;7;5;7031;7
B2300330000000;ENTRELINHAS;2023;Automático Bilheteria;FSA puro;0.0;0;0.0;;38.0;;0;0;0;0
B2300349700000;NOSSO SONHO;2023;Automático Bilheteria;Misto FSA+Renúncia;4.259;2;;;1250.0;Q112966933;2;0;12705;2
B2300536800000;SALA ESCURA;2023;Automático Bilheteria;Misto FSA+Renúncia;0.0;0;;;128.0;;0;0;0;0
B1402521900000;AS AVENTURAS DO AVIÃO VERMELHO;2014;Bilheteria · Produtora;Misto FSA+Renúncia;4.003;2;4.0;34.0;164.0;;0;0;0;0
B1500344400000;DEPOIS DE TUDO;2014;Bilheteria · Produtora;Misto FSA+Renúncia;3.51;2;;;82.0;;0;0;0;0
B1402255700000;GALAXIAS;2014;Bilheteria · Produtora;FSA puro;3.793;2;5.0;23.0;;;0;0;0;0
B1402378700000;INFÂNCIA;2014;Bilheteria · Produtora;Misto FSA+Renúncia;4.03;2;0.0;;99.0;;0;0;0;0
B1500543200000;LINDA DE MORRER;2014;Bilheteria · Produtora;Misto FSA+Renúncia;3.2;1;0.0;;407.0;Q22000197;2;1;8117;2
B1402855900000;MARESIA;2014;Bilheteria · Produtora;Misto FSA+Renúncia;0.0;0;;;63.0;;0;0;0;0
B1402201200000;MUITOS HOMENS NUM SÓ;2014;Bilheteria · Produtora;Misto FSA+Renúncia;0.0;0;;;185.0;;0;0;0;0
B1402652900000;NISE - O CORAÇÃO DA LOUCURA;2014;Bilheteria · Produtora;Misto FSA+Renúncia;4.3;1;;;2743.0;;0;0;0;0
B1402175100000;O MENINO NO ESPELHO;2014;Bilheteria · Produtora;Misto FSA+Renúncia;3.5;1;;;280.0;;0;0;0;0
B1500177200000;PARA MINHA AMADA MORTA;2014;Bilheteria · Produtora;FSA puro;3.133;1;0.0;;423.0;;0;0;0;0
B1500585400000;QUASE MEMÓRIA;2014;Bilheteria · Produtora;Misto FSA+Renúncia;0.0;0;;;81.0;;0;0;0;0
B1402237400000;SANGUE AZUL;2014;Bilheteria · Produtora;Misto FSA+Renúncia;4.0;1;;;360.0;;0;0;0;0
B1402332500000;TRINTA;2014;Bilheteria · Produtora;Misto FSA+Renúncia;0.0;0;;;234.0;;0;0;0;0
B1402145600000;À QUEIMA ROUPA;2014;Bilheteria · Produtora;Misto FSA+Renúncia;4.16;2;;;20.0;;0;0;0;0
B1600109600000;A FRENTE FRIA QUE A CHUVA TRAZ;2015;Bilheteria · Produtora;Misto FSA+Renúncia;2.2;1;;;312.0;;0;0;0;0
B1600585400000;A GLÓRIA E A GRAÇA;2015;Bilheteria · Produtora;Misto FSA+Renúncia;4.2;1;;;152.0;;0;0;0;0
B1600032100000;AMOR EM SAMPA;2015;Bilheteria · Produtora;Misto FSA+Renúncia;4.3;1;1.0;0.0;117.0;;0;0;0;0
B1600041000000;BUGIGANGUE NO ESPAÇO;2015;Bilheteria · Produtora;Misto FSA+Renúncia;4.3;1;0.0;;198.0;;0;0;0;0
B1500344800000;CAMPO GRANDE;2015;Bilheteria · Produtora;Misto FSA+Renúncia;0.0;0;;;237.0;;0;0;0;0
B1500812200000;DOIDAS E SANTAS;2015;Bilheteria · Produtora;Misto FSA+Renúncia;0.0;0;;;75.0;;0;0;0;0
B1600264400000;PONTO ZERO;2015;Bilheteria · Produtora;Misto FSA+Renúncia;0.0;0;;;182.0;;0;0;0;0
B1500399400000;PROVA DE CORAGEM;2015;Bilheteria · Produtora;Misto FSA+Renúncia;4.015;2;;;98.0;;0;0;0;0
B1500309900000;QUALQUER GATO VIRA-LATA 2;2015;Bilheteria · Produtora;Misto FSA+Renúncia;3.605;2;;;353.0;;0;0;0;0
B1500408100000;UM FILME DE CINEMA;2015;Bilheteria · Produtora;FSA puro;2.675;2;;;88.0;;0;0;0;0
B1500870400000;VAI QUE DÁ CERTO 2;2015;Bilheteria · Produtora;Misto FSA+Renúncia;3.5;1;;;360.0;;0;0;0;0
B1500672000000;ÓRFÃOS DO ELDORADO;2015;Bilheteria · Produtora;Misto FSA+Renúncia;0.0;0;;;95.0;;0;0;0;0
B1600287300000;DESERTO;2016;Bilheteria · Produtora;Misto FSA+Renúncia;3.705;2;;;62.0;;0;0;0;0
B1600690600000;ERA O HOTEL CAMBRIDGE;2016;Bilheteria · Produtora;Misto FSA+Renúncia;3.8;1;2.0;0.0;604.0;;0;0;0;0
B1700349800000;JOÃO, O MAESTRO;2016;Bilheteria · Produtora;Misto FSA+Renúncia;3.734;2;;;355.0;;0;0;0;0
B1700077100000;LA VINGANÇA;2016;Bilheteria · Produtora;Misto FSA+Renúncia;2.7;1;;;361.0;;0;0;0;0
B1600243000000;REDEMOINHO;2016;Bilheteria · Produtora;Misto FSA+Renúncia;0.0;0;;;266.0;;0;0;0;0
B1800514700000;SOBRE RODAS;2016;Bilheteria · Produtora;Misto FSA+Renúncia;3.532;2;;;;;0;0;0;0
B1700051600000;VAZANTE;2016;Bilheteria · Produtora;Misto FSA+Renúncia;2.8;1;1.0;0.0;717.0;;0;0;0;0
B1700248900000;A SUPERFÍCIE DA SOMBRA;2017;Bilheteria · Produtora;Misto FSA+Renúncia;2.6;1;;;20.0;;0;0;0;0
B1800089800000;AMORES DE CHUMBO;2017;Bilheteria · Produtora;Misto FSA+Renúncia;3.312;1;;;50.0;;0;0;0;0
B1700602000000;ANTÁRTICA POR UM ANO;2017;Bilheteria · Produtora;FSA puro;3.748;2;;;9.0;;0;0;0;0
B1700450500000;AS BOAS MANEIRAS;2017;Bilheteria · Produtora;Misto FSA+Renúncia;3.1;1;;;4638.0;Q43303160;7;5;39659;7
B1700189700000;EM UM MUNDO INTERIOR;2017;Bilheteria · Produtora;Misto FSA+Renúncia;3.538;2;;;;;0;0;0;0
B1700151900000;O FILME DA MINHA VIDA;2017;Bilheteria · Produtora;Misto FSA+Renúncia;3.2;1;;;2227.0;Q27996402;5;3;11772;5
B1700497900000;ORGANISMO;2017;Bilheteria · Produtora;FSA puro;0.0;0;;;18.0;;0;0;0;0
B1700088100000;PELA JANELA;2017;Bilheteria · Produtora;Misto FSA+Renúncia;0.0;0;7.0;0.0;174.0;;0;0;0;0
B1800469700000;A CABEÇA DE GUMERCINDO SARAIVA;2018;Bilheteria · Produtora;Misto FSA+Renúncia;3.471;1;;;72.0;;0;0;0;0
B1800516900000;A CIDADE DOS PIRATAS;2018;Bilheteria · Produtora;Misto FSA+Renúncia;3.5;1;;;134.0;;0;0;0;0
B1800458500000;A PRINCESA DE ELYMIA;2018;Bilheteria · Produtora;FSA puro;3.343;2;;;36.0;;0;0;0;0
B1800459400000;AMAZÔNIA GROOVE;2018;Bilheteria · Produtora;Misto FSA+Renúncia;0.0;0;0.0;;70.0;Q65163229;2;0;1107;2
B1800375900000;CANO SERRADO;2018;Bilheteria · Produtora;Misto FSA+Renúncia;0.0;0;2.0;0.0;82.0;;0;0;0;0
B1800411600000;DESLEMBRO;2018;Bilheteria · Produtora;Misto FSA+Renúncia;0.0;0;;;419.0;Q106562397;2;0;1635;2
B1800466200000;GUERRA DE ALGODÃO;2018;Bilheteria · Produtora;FSA puro;4.03;2;1.0;0.0;;;0;0;0;0
B1800491800000;LEGALIDADE;2018;Bilheteria · Produtora;Misto FSA+Renúncia;0.0;0;;;179.0;Q119206874;1;0;1703;1
B2000003600000;ONDE DORMEM OS SONHOS;2018;Bilheteria · Produtora;FSA puro;3.32;1;0.0;;;;0;0;0;0
B1800567100000;TAIS & TAIANE;2018;Bilheteria · Produtora;Misto FSA+Renúncia;0.0;0;1.0;0.0;;;0;0;0;0
B1800212800000;TALVEZ UMA HISTÓRIA DE AMOR;2018;Bilheteria · Produtora;Misto FSA+Renúncia;4.3;1;;;491.0;Q30927915;3;1;5804;3
B1900029000000;TITO E OS PÁSSAROS;2018;Bilheteria · Produtora;Misto FSA+Renúncia;4.1;1;0.0;;788.0;Q56307396;5;3;6949;5
B1800504700000;TORRE DAS DONZELAS;2018;Bilheteria · Produtora;Misto FSA+Renúncia;0.0;0;;;123.0;Q96099768;4;2;3724;4
B1900448200000;AOS OLHOS DE ERNESTO;2019;Bilheteria · Produtora;Misto FSA+Renúncia;3.61;2;3.0;2.0;208.0;;0;0;0;0
B1900571100000;INCOMPATÍVEL;2019;Bilheteria · Produtora;Misto FSA+Renúncia;0.0;0;;;;;0;0;0;0
B1900157600000;KARDEC;2019;Bilheteria · Produtora;Misto FSA+Renúncia;3.8;1;;;1960.0;Q65166905;4;2;13822;4
B1900548300000;LIMA BARRETO, AO TERCEIRO DIA;2019;Bilheteria · Produtora;Misto FSA+Renúncia;0.0;0;;;36.0;;0;0;0;0
B1900618000000;MACABRO;2019;Bilheteria · Produtora;Misto FSA+Renúncia;3.541;2;;;638.0;Q109374474;2;1;13652;2
B1900063700000;MUSSUM, UM FILME DO CACILDIS;2019;Bilheteria · Produtora;Misto FSA+Renúncia;3.4;1;;;452.0;Q120493273;1;0;1393;1
B1900098100000;O PERGAMINHO VERMELHO;2019;Bilheteria · Produtora;FSA puro;3.442;2;;;;;0;0;0;0
B1900347800000;PIEDADE;2019;Bilheteria · Produtora;Misto FSA+Renúncia;0.0;0;0.0;;382.0;Q106547258;1;0;792;1
B1900284200000;PORFÍRIO DO AMARAL - A VERDADE SOBRE O SAMBA;2019;Bilheteria · Produtora;FSA puro;4.2;1;0.0;;;;0;0;0;0
B1900572600000;PUREZA;2019;Bilheteria · Produtora;Misto FSA+Renúncia;4.208;2;;;;;0;0;0;0
B1900331600000;SE ARREPENDIMENTO MATASSE;2019;Bilheteria · Produtora;FSA puro;0.0;0;;;;;0;0;0;0
B2000152800000;CAFÉ, PEPI E LIMÃO;2020;Bilheteria · Produtora;FSA puro;0.0;0;0.0;;;;0;0;0;0
B2000096200000;EDUARDO E MÔNICA;2020;Bilheteria · Produtora;Misto FSA+Renúncia;3.827;2;;;;;0;0;0;0
B2000185600000;NIÈDE;2020;Bilheteria · Produtora;FSA puro;0.0;0;;;11.0;;0;0;0;0
B2000364100000;O CEMITÉRIO DAS ALMAS PERDIDAS;2020;Bilheteria · Produtora;FSA puro;2.975;2;;;252.0;;0;0;0;0
B2000525500000;O CLUBE DOS ANJOS;2020;Bilheteria · Produtora;Misto FSA+Renúncia;2.8;1;3.0;0.0;163.0;Q119960968;1;0;3643;1
B2000320300000;O SENTIDO DA VIDA;2020;Bilheteria · Produtora;Misto FSA+Renúncia;3.2;1;;;8.0;;0;0;0;0
B2000106900000;OS ESCRAVOS DE JÓ;2020;Bilheteria · Produtora;FSA puro;3.438;1;0.0;;12.0;;0;0;0;0
B2000477300000;RIR PRA NÃO CHORAR;2020;Bilheteria · Produtora;FSA puro;0.0;0;0.0;;;;0;0;0;0
B2000040200000;SOLTEIRA QUASE SURTANDO;2020;Bilheteria · Produtora;Misto FSA+Renúncia;0.0;0;;;53.0;;0;0;0;0
B2000436400000;TODOS OS MORTOS;2020;Bilheteria · Produtora;Misto FSA+Renúncia;4.1;1;12.0;0.0;620.0;Q84083939;5;3;4562;5
B2100349700000;A QUEDA;2021;Bilheteria · Produtora;FSA puro;3.895;2;2.0;0.0;49.0;;0;0;0;0
B2100103100000;DIÁRIO DE VIAGEM;2021;Bilheteria · Produtora;Misto FSA+Renúncia;4.412;2;;;18.0;;0;0;0;0
B2100271600000;DUETTO;2021;Bilheteria · Produtora;Misto FSA+Renúncia;0.0;0;;;100.0;Q108750034;2;1;3460;2
B2100218200000;MADALENA;2021;Bilheteria · Produtora;FSA puro;3.4;1;;;416.0;Q110644281;4;2;4494;4
B2100282200000;PLUFT, O FANTASMINHA;2021;Bilheteria · Produtora;Misto FSA+Renúncia;3.938;2;;;;;0;0;0;0
B2100326700000;SWINGUEIRA;2021;Bilheteria · Produtora;FSA puro;0.0;0;1.0;0.0;;;0;0;0;0
B2200405700000;A ILHA DOS ILÚS;2022;Bilheteria · Produtora;Misto FSA+Renúncia;3.95;2;;;26.0;;0;0;0;0
B2200291400000;A LASANHA ASSASSINA - A REVOLTA DAS MASSAS;2022;Bilheteria · Produtora;Misto FSA+Renúncia;3.755;2;0.0;;14.0;;0;0;0;0
B2200223200000;ASSALTO NA PAULISTA;2022;Bilheteria · Produtora;Misto FSA+Renúncia;3.59;2;;;;;0;0;0;0
B2200409600000;ESTADOS UNIDOS DO BRASIL;2022;Bilheteria · Produtora;FSA puro;4.343;2;;;;;0;0;0;0
B2200307700000;O ALECRIM E O SONHO;2022;Bilheteria · Produtora;FSA puro;3.4;1;;;10.0;;0;0;0;0
B2200080600000;O PAI DA RITA;2022;Bilheteria · Produtora;Misto FSA+Renúncia;3.878;2;;;34.0;Q117286855;1;0;1343;1
B2200266500000;PORTO PRÍNCIPE;2022;Bilheteria · Produtora;FSA puro;0.0;0;;;22.0;;0;0;0;0
B2300257900000;A ESTAÇÃO;2023;Bilheteria · Produtora;Misto FSA+Renúncia;0.0;0;;;;;0;0;0;0
B2300451700000;A MULHER SEM CHÃO;2023;Bilheteria · Produtora;FSA puro;4.3;1;0.0;;;;0;0;0;0
B2300486200000;CEDO DEMAIS;2023;Bilheteria · Produtora;Misto FSA+Renúncia;0.0;0;;;31.0;;0;0;0;0
B2300282000000;DE LONGE TODA SERRA É AZUL;2023;Bilheteria · Produtora;FSA puro;3.683;2;1.0;0.0;;;0;0;0;0
B2300201100000;DERRAPADA;2023;Bilheteria · Produtora;Misto FSA+Renúncia;0.0;0;;;55.0;;0;0;0;0
B2300060700000;MAIS PESADO É O CÉU;2023;Bilheteria · Produtora;FSA puro;3.4;1;;;90.0;Q120577823;2;0;5380;2
B2300099200000;MORCEGO NEGRO;2023;Bilheteria · Produtora;Misto FSA+Renúncia;0.0;0;11.0;0.0;13.0;;0;0;0;0
B2300200700000;MUNDO PROIBIDO;2023;Bilheteria · Produtora;Misto FSA+Renúncia;0.0;0;0.0;;8.0;;0;0;0;0
B2300442100000;OTHELO, O GRANDE;2023;Bilheteria · Produtora;Misto FSA+Renúncia;4.4;1;;;40.0;;0;0;0;0
B2300258300000;QUARTA-FEIRA DE CINZAS;2023;Bilheteria · Produtora;FSA puro;2.835;2;0.0;;;;0;0;0;0
B2300382200000;RETRATO DE UM CERTO ORIENTE;2023;Bilheteria · Produtora;Misto FSA+Renúncia;3.8;1;;;138.0;Q124883109;0;0;0;0
B2300105700000;TESOURO NATTERER;2023;Bilheteria · Produtora;FSA puro;0.0;0;;;;;0;0;0;0
B1402125800000;A ESTRADA 47;2014;Bilheteria · Distribuidora;Misto FSA+Renúncia;3.727;2;;;1025.0;Q17053260;5;3;13056;5
B1402131600000;CASA GRANDE;2014;Bilheteria · Distribuidora;Misto FSA+Renúncia;3.5;1;4.0;0.0;3411.0;Q22000044;5;4;12320;5
B1402406800000;IRMÃ DULCE;2014;Bilheteria · Distribuidora;Misto FSA+Renúncia;4.2;1;;;314.0;Q18275998;1;0;5096;1
B1402704900000;LOUCAS PRA CASAR;2014;Bilheteria · Distribuidora;Misto FSA+Renúncia;3.7;1;;;1197.0;Q19427621;1;0;5638;1
B1402689400000;O VENDEDOR DE PASSADOS;2014;Bilheteria · Distribuidora;Misto FSA+Renúncia;3.1;1;;;469.0;;0;0;0;0
B1500554400000;A ESPERANÇA É A ÚLTIMA QUE MORRE;2015;Bilheteria · Distribuidora;Misto FSA+Renúncia;3.527;2;10.0;1.0;144.0;Q30927222;1;0;2159;1
B1500591500000;A FLORESTA QUE SE MOVE;2015;Bilheteria · Distribuidora;Misto FSA+Renúncia;3.538;1;;;273.0;;0;0;0;0
B1500572900000;AS AVENTURAS DO PEQUENO COLOMBO;2015;Bilheteria · Distribuidora;Misto FSA+Renúncia;3.04;2;;;59.0;;0;0;0;0
B1500843400000;ASPIRANTES;2015;Bilheteria · Distribuidora;Misto FSA+Renúncia;0.0;0;;;117.0;;0;0;0;0
B1500873900000;ATRAVÉS DA SOMBRA;2015;Bilheteria · Distribuidora;Misto FSA+Renúncia;2.6;1;;;326.0;Q30938452;2;1;4187;2
B1500711400000;BEATRIZ;2015;Bilheteria · Distribuidora;Misto FSA+Renúncia;2.998;2;0.0;;;;0;0;0;0
B1600100300000;O ESCARAVELHO DO DIABO;2015;Bilheteria · Distribuidora;Misto FSA+Renúncia;3.858;2;0.0;;460.0;Q27996392;2;1;6244;2
B1500585100000;QUE HORAS ELA VOLTA?;2015;Bilheteria · Distribuidora;Misto FSA+Renúncia;4.4;1;0.0;;19176.0;Q18703886;14;12;94573;15
B1500899800000;REZA A LENDA;2015;Bilheteria · Distribuidora;Misto FSA+Renúncia;3.793;2;;;623.0;Q18472801;2;1;4611;2
B1600036800000;ZOOM;2015;Bilheteria · Distribuidora;Misto FSA+Renúncia;0.0;0;;;;;0;0;0;0
B1700162000000;ALTAS EXPECTATIVAS;2016;Bilheteria · Distribuidora;Misto FSA+Renúncia;0.0;0;0.0;;132.0;;0;0;0;0
B1700386500000;COMO SE TORNAR O PIOR ALUNO DA ESCOLA;2016;Bilheteria · Distribuidora;Misto FSA+Renúncia;3.0;1;1.0;0.0;2230.0;Q16950635;3;1;2189;3
B1600680100000;ELIS;2016;Bilheteria · Distribuidora;Misto FSA+Renúncia;3.8;1;;;2256.0;Q27915259;1;0;13554;1
