diretor;diretor_norm;n_obras_fomento;ano_primeira_obra;ano_ultima_obra;n_obras_fsa;n_obras_renuncia;investimento_fsa_deflac;investimento_total_deflac;bilheteria_deflac;outras_janelas_deflac;receita_total_deflac;pct_receita_sintetica;roi_dom_fsa_deflac;roi_dom_total_deflac;roi_intl_medio;pontuacao_festivais_max;pontuacao_festivais_media;adm_eu_total;critica_media;categoria_principal;genero_diretor;diversidade_regional;cita_n_papers;cita_soma_citacoes;wikidata_id;prestigio_festiv;prestigio_filmes;fest_diretor_norm;fest_n_participacoes_total;fest_n_festivais_especial;fest_n_festivais_aa;fest_n_competicao_principal;fest_n_secao_paralela;fest_n_premios;fest_tem_curta_festival;fest_tem_longa_festival;fest_melhor_nivel;fest_primeiro_festival_ano;fest_ultimo_festival_ano;fest_festivais_lista;fest_n_festivais_distintos;fest_n_cannes;fest_n_berlim;fest_n_veneza;fest_n_oscar;fest_n_sundance;fest_n_rotterdam;fest_n_tiff;fest_n_locarno;fest_n_san_sebastian;fest_n_idfa;fest_n_annecy;fest_n_karlovy_vary
AUGUSTO BARRA DO AMARAL;AUGUSTO BARRA DO AMARAL;48;2016.0;2020.0;4;4;5620835.24;12899462.85;0.0;691101.04;691101.04;100.0;0.123;0.0536;0.0;0.0;0.0;0;3.762;Renúncia — Art.3/3-A/39;;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CELIA CATUNDA SERRA;CELIA CATUNDA SERRA;48;2014.0;2020.0;3;8;12836932.5;39371623.47;608049.68;2220706.8;2828756.48;78.5;0.2204;0.0718;0.0;0.0;0.0;0;3.482;Renúncia — Art.3/3-A/39;;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANDREW WADDINGTON;ANDREW WADDINGTON;47;2014.0;2019.0;1;9;667335.0;40290303.14;11309473.56;1847982.38;13157455.94;14.0;19.7164;0.3266;0.0;0.0;0.0;0;4.042;Renúncia — Art.3/3-A/39;;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SILVIO TENDLER;SILVIO TENDLER;47;2014.0;2023.0;10;8;8820028.26;14105690.2;62482.84;1618194.0;1680676.84;96.3;0.1906;0.1191;0.0;0.0;0.0;0;3.788;_tv_excluir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BRUNO CURVELLO FIORAVANTI;BRUNO CURVELLO FIORAVANTI;47;;;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LUIZ CARLOS AFIF SILVEIRA MELLO;LUIZ CARLOS AFIF SILVEIRA MELLO;47;;;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BEATRIZ PAOLIELLO LINDENBERG;BEATRIZ PAOLIELLO LINDENBERG;47;;;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LEONARDO FERREIRA LIBERTI;LEONARDO FERREIRA LIBERTI;46;;;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ROSALDO CARNEIRO CAVALCANTI NETO;ROSALDO CARNEIRO CAVALCANTI NETO;46;;;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RAFAEL SILVA DE OLIVEIRA;RAFAEL SILVA DE OLIVEIRA;46;;;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ALMIR CORREIA;ALMIR CORREIA;46;2014.0;2018.0;2;0;140911.24;140911.24;0.0;360438.4;360438.4;100.0;2.5579;2.5579;0.0;0.0;0.0;0;3.6;sem_categoria;;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PEDRO FERNANDES SAAD;PEDRO FERNANDES SAAD;46;2022.0;2023.0;1;9;927765.6;4041116.66;0.0;1685716.24;1685716.24;100.0;1.817;0.4171;0.0;0.0;0.0;0;3.875;Renúncia — Outros Mecanismos;;;6.0;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LEANDRO HENRIQUE BEZERRA LARA;LEANDRO HENRIQUE BEZERRA LARA;46;2014.0;2019.0;2;0;4142681.27;4142681.27;7514.64;709787.88;717302.52;99.0;0.1731;0.1731;0.0;0.0;0.0;0;4.095;_tv_excluir;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FELIPE THIAGO VIANNA NEPOMUCENO;FELIPE THIAGO VIANNA NEPOMUCENO;45;2020.0;2020.0;1;0;696097.0;696097.0;0.0;76617.12;76617.12;100.0;0.1101;0.1101;0.0;0.0;0.0;0;3.985;_tv_excluir;;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RODRIGO FERREIRA GOLA;RODRIGO FERREIRA GOLA;44;;;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EVALDO SERGIO VINAGRE MOCARZEL;EVALDO SERGIO VINAGRE MOCARZEL;44;;;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0;;;;;1.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANDRE LUIZ JACQUES;ANDRE LUIZ JACQUES;44;;;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JODELE CLAUDIO MUNIZ DONDICE LARCHER;JODELE CLAUDIO MUNIZ DONDICE LARCHER;44;2017.0;2021.0;2;2;1114356.42;4713594.2;0.0;156277.98;156277.98;100.0;0.1402;0.0332;0.0;0.0;0.0;0;4.3;_tv_excluir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ISABELLE LOPES NEVES;ISABELLE LOPES NEVES;44;;;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ROBERTO TEIXEIRA DE OLIVEIRA;ROBERTO TEIXEIRA DE OLIVEIRA;43;;;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DANIEL BAROSA;DANIEL BAROSA;43;2015.0;2015.0;0;1;0.0;174729.71;0.0;189665.28;189665.28;100.0;;1.0855;0.0;0.0;0.0;0;;Renúncia — Outros Mecanismos;;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MARCO ANTONIO ALTBERG;MARCO ANTONIO ALTBERG;42;2017.0;2019.0;3;0;4911812.35;4911812.35;0.0;330356.1;330356.1;100.0;0.0673;0.0673;0.0;0.0;0.0;0;3.88;_tv_excluir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GUILHERME LAGE MARQUES;GUILHERME LAGE MARQUES;42;;;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RODRIGO MONTEIRO CARELLI;RODRIGO MONTEIRO CARELLI;42;;;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EDSON JUNIOR GANDOLFI DE MOURA;EDSON JUNIOR GANDOLFI DE MOURA;42;;;0;0;0.0;0.0;0.0;0.0;0.0;0.0;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ESTEVAO CIAVATTA PANTOJA FRANCO;ESTEVAO CIAVATTA PANTOJA FRANCO;42;2014.0;2023.0;0;7;0.0;35883886.5;7501002.32;999577.35;8500579.67;11.8;;0.2369;0.0;0.0;0.0;0;3.574;Renúncia — Art.3/3-A/39;;;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
