CPB;titulo;ano;chamada;categoria;investimento_fsa_nominal;investimento_renuncia_art3_nominal;investimento_renuncia_outros_nominal;investimento_fsa_deflac;investimento_renuncia_total_deflac;investimento_total_deflac;bilheteria_nominal;bilheteria_deflac;outras_janelas_nominal;outras_janelas_deflac;receita_total_deflac;roi_dom_fsa_deflac;roi_dom_total_deflac;roi_internacional_0_100;pontuacao_festivais;adm_eu_lumiere;vod_n_plataformas;vod_n_paises;total_paises_alcancados;paises_festivais;paises_lumiere;paises_vod_europa;paises_lista;critica_indice_1_5;critica_fontes;critica_n_fontes;critica_confianca;cita_n_papers;cita_soma_cit;cita_max_cit;cita_venues;prestigio_festiv;wikidata_id_dir;CNPJ_produtora;genero_diretor;diversidade_regional;protagonista_diverso;UF_requerente;tem_diretor_prestigio;imdb_genres;imdb_runtime;prestigio_festivais;n_diretores;investimento_total_nominal;roi_dom_fsa_nominal;roi_dom_total_nominal
B1500714700000;FESTA DA UVA 80 ANOS - A CELEBRAÇÃO DE UMA IDENTIDADE;2014;;Renúncia — Outros Mecanismos;0.0;0.0;1109995.79;0.0;1941591.32;1941591.32;0.0;0.0;280000;489772.64;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;4.068;adoro_critico|adoro_usuario;2;alta;1.0;0.0;0.0;;;;13.925.421/0001-75;;;;;;;;;;1109995.79;;0.2523
B1700052000000;FILHOS DE BACH;2014;;Renúncia — Art.3/3-A/39;0.0;3000000.0;1615000.0;0.0;8072502.62;8072502.62;49455.0;65544.36;60000;104951.28;65544.36;0.0;0.0081;0.9;4.5;0;0;0;0;;;;;3.993;adoro_critico|adoro_usuario;2;media;;;;;;;09.180.984/0001-04;;;;;;;;;;4615000.0;;0.0237
B1500388300000;FRANCISCO DE ASSIS- UMA LIÇÃO DE VIDA;2014;;Renúncia — Outros Mecanismos;0.0;0.0;52207.6;0.0;91320.91;91320.91;0.0;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;3.2;adoro_usuario;1;baixa;;;;;;;PESSOA FÍSICA;;;;;;;;;;52207.6;;0.0
B1402230800000;FREEWAY;2014;;Renúncia — Outros Mecanismos;0.0;0.0;228500.0;0.0;399689.46;399689.46;0.0;0.0;60000;104951.28;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;0.0;;0;;;;;;;;04.736.316/0001-05;;;;;;;;;;228500.0;;0.2626
B1402300300000;GABY ESTRELLA - 2A TEMPORADA;2014;;Renúncia — Art.3/3-A/39;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;360000;629707.68;0.0;0.0;;0.0;0.0;0;0;0;0;;;;;0.0;;0;;0.0;;;;;;05.565.485/0001-84;;;;;;;;;;0.0;;
B1402621800000;GRANDE HOTEL;2014;;Renúncia — Outros Mecanismos;0.0;0.0;220000.0;0.0;384821.36;384821.36;0.0;0.0;60000;104951.28;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;4.4;adoro_usuario;1;baixa;;;;;;;14.592.038/0001-05;;;;;;;;;;220000.0;;0.2727
B1402681000000;HISTORIAS DE VERÃO;2014;;Renúncia — Art.3/3-A/39;0.0;1474179.75;0.0;0.0;2578617.53;2578617.53;0.0;0.0;80000;139935.04;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;4.37;adoro_critico|adoro_usuario;2;media;0.0;;;;;;01.378.559/0001-12;;;;;;;;;;1474179.75;;0.0543
B1402094700000;HOJE EU QUERO VOLTAR SOZINHO;2014;;Renúncia — Outros Mecanismos;0.0;0.0;1880000.0;0.0;3288473.44;3288473.44;2516876.92;4073133.68;205000;358583.54;4073133.68;0.0;1.2386;14.26;0.0;36402;0;0;0;;;;;3.965;adoro_critico|adoro_usuario;2;alta;0.0;;;;;;08.677.301/0001-66;;;;;;;;;;1880000.0;;1.4478
B1402204500000;HOJE É DIA DE MÚSICA;2014;;Renúncia — Art.3/3-A/39;0.0;1995820.68;0.0;0.0;3491065.58;3491065.58;0.0;0.0;60000;104951.28;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;4.05;adoro_critico|adoro_usuario;2;alta;;;;;;;09.180.984/0001-04;;;;;;;;;;1995820.68;;0.0301
B1500168300000;HORA DE COMER;2014;;Renúncia — Outros Mecanismos;0.0;0.0;500000.0;0.0;874594.0;874594.0;0.0;0.0;60000;104951.28;0.0;0.0;0.0;0.0;0.0;0;0;0;0;;;;;4.0;adoro_usuario;1;baixa;;;;;;;04.350.398/0001-47;;;;;;;;;;500000.0;;0.12
