cpb;titulo;ano;categoria;segmento_destinacao_inicial;investimento_total_deflac
B2100016600000;NASCIDOS PARA O COMBATE - 5ª TEMPORADA;2020;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);1915428.0
B2000127200000;O DONO DO LAR 2ª TEMPORADA;2020;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);3691879.57
B2000402300000;ODILON, RÉU DE SI MESMO;2020;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);1338125.85
B2000078100000;ONDE O BENEDITO ENCONTRA O CEDROS;2020;Renúncia — Outros Mecanismos;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);159407.03
B2000535600000;OS SZAFIRS - 1ª TEMPORADA;2020;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);3639142.88
B2200463100000;PAPAYA BULL - TERCEIRA TEMPORADA;2020;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);2681599.2
B2000461900000;PRAZER EM CONHECER;2020;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);278225.49
B2000322000000;QUEM É VOCÊ?;2020;Renúncia — Outros Mecanismos;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);76617.12
B2000096400000;SAMBALANÇO - A BOSSA QUE DANÇA;2020;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);0.0
B2000102100000;SENNINHA NA PISTA MALUCA - SEGUNDA TEMPORADA;2020;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);3801581.65
B2000050600000;SOPRO, XINGU, CARIRI, CARUARU, CARIOCA;2020;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);10267266.22
B2000473500000;TERRAS TROPICAIS;2020;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);655076.38
B2000065100000;UM CONTRA TODOS - QUARTA TEMPORADA;2020;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);8554791.87
B2000142500000;UM DIA QUALQUER - SÉRIE;2020;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);898287.21
B2000003500000;VIAGEM A QUALQUER CUSTO;2020;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);1201619.43
B2000075900000;VIAJO LOGO EXISTO;2020;Renúncia — Outros Mecanismos;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);1041485.92
B2100460300000;30 SEGUNDOS;2021;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);2232059.19
B2100239900000;ALMANAQUE DOS ESPORTES - 3A TEMPORADA;2021;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);1450290.0
B2100403800000;CARANGAS ABSURDAS;2021;Renúncia — Art.3/3-A/39;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);1058773.82
