cnpj_produtora;n_obras;n_estreadas;taxa_estreia;inv_fsa;inv_renuncia;inv_total;receita_ref;bilheteria_obs;retorno_dom_carteira;retorno_intl_medio;melhor_intl;n_sinal_intl;publico;ano_primeira;ano_ultima;so_fsa;so_renuncia;uf_obras;razao_social;uf;cluster;p1;pre2006
22910094000179;1;1;1.0;1005253.17;0.0;1005253.17;1590.4;1590.4;0.0015820890174362743;0.0;0.0;0;80.0;2023;2023;True;False;RJ;RED STUDIO BRASIL PRODUCAO E ANIMACAO LTDA;;Pequeno Porte;2023;False
18009049000170;2;2;1.0;0.0;995205.4;995205.4;803768.0;13697.32;0.807640312241071;0.0;0.0;0;0.0;2016;2019;False;True;RJ;70 FILMES PRODUCOES ARTÍSTICAS LTDA;RJ;Pequeno Porte;2015;False
38027546000109;1;0;0.0;0.0;993688.01;993688.01;0.0;0.0;0.0;;0.0;0;0.0;2015;2015;False;True;DF;JORGE OLIVEIRA DA SILVA COMUNICACAO CONSULTORIA E MARKETING LTDA;DF;Pequeno Porte;2007;False
15743170000133;1;1;1.0;986525.88;0.0;986525.88;153393.28;159.04;0.15548834866856204;0.0;0.0;0;8.0;2020;2020;True;False;SP;MOVIOCA PRODUÇÕES ARTÍSTICAS LTDA - ME;SP;Pequeno Porte;2012;False
31447584000171;1;1;1.0;0.0;970799.34;970799.34;492297.4;2524.76;0.5071052067258307;0.0;0.0;0;0.0;2014;2014;False;True;RJ;SATURNA PRODUÃÃES ARTÃSTICAS LTDA.;RJ;Pequeno Porte;1960;True
17192316000125;1;1;1.0;266934.0;696097.0;963031.0;111940.16;28408.52;0.11623733815422349;3.7;3.7;1;1429.0;2018;2018;False;False;RJ;SEUFILME PRODUCOES AUDIOVISUAIS LTDA;RJ;Pequeno Porte;2014;False
19099086000180;1;1;1.0;957098.57;0.0;957098.57;143034.72;36261.12;0.14944617459829662;0.0;0.0;0;1824.0;2019;2019;True;False;PB;VERMELHO PROFUNDO PRODUÇÕES AUDIOVISUAIS LTDA;;Pequeno Porte;2009;False
68317445000133;1;1;1.0;948326.4;0.0;948326.4;6381.48;6381.48;0.006729202097505669;2.4;2.4;1;321.0;2019;2019;True;False;RJ;CINEMA BRASIL DIGITAL - ESCRITÓRIO DE PLANEJ. EMPR. AUD. LTDA;RJ;Pequeno Porte;1984;True
08184185000143;1;0;0.0;0.0;948326.4;948326.4;0.0;0.0;0.0;;0.0;0;0.0;2015;2015;False;True;RJ;NOFOCO FILMES PRODUÃÃES CINEMATOGRAFICAS LTDA;RJ;Pequeno Porte;2012;False
03931658000105;1;1;1.0;941213.33;0.0;941213.33;5467.0;5467.0;0.00580846002255408;0.0;0.0;0;275.0;2023;2023;True;False;BA;LARTY MARK LTDA;;Pequeno Porte;2013;False
