cpb;titulo;ano;categoria;cat_nova;chamada;tem_complementacao;tem_comercializacao;cnpj_produtora;uf;tipo_obra;segmento_destinacao_inicial;instrumento;inv_fsa;inv_renuncia;inv_total;bilheteria_obs;renda_pmi_estimada;janelas_crt;receita_ref;publico_domestico;sessoes_total;n_municipios;roi_internacional_0_100;pontuacao_festivais;adm_eu_lumiere;vod_n_plataformas;vod_n_paises;total_paises_alcancados;critica_indice_1_5;critica_n_fontes;critica_confianca;cita_n_papers;cita_soma_cit;cita_max_cit;universo_aplicacao;universo_retorno;retorno_dom;retorno_intl;tem_intl
B1402380600000;NA QUEBRADA;2014;Renúncia — Art.3/3-A/39;;;;;06945371000122;SP;FICÇÃO;SALAS DE EXIBIÇÃO;Renúncia pura;0.0;1661728.6;1661728.6;5095124.72;0.0;358583.54;5453708.26;;;;0.0;0.0;0;0;0;0;0.0;0;;0.0;;;True;True;3.281948845316858;0.0;False
B1500257400000;NERVOS DE AÇO;2014;Renúncia — Outros Mecanismos;;;;;31447584000171;RJ;FICÇÃO;SALAS DE EXIBIÇÃO;Renúncia pura;0.0;970799.34;970799.34;2524.76;0.0;489772.64;492297.4;;;;0.0;0.0;0;0;0;0;4.259;2;media;0.0;;;True;True;0.5071052067258307;0.0;False
B1402260600000;O CANDIDATO HONESTO;2014;Renúncia — Art.3/3-A/39;;;;;03987306000252;RJ;FICÇÃO;INDEFINIDO;Renúncia pura;0.0;8142470.14;8142470.14;45223461.36;0.0;358583.54;45582044.9;;;;0.0;0.0;0;0;0;0;3.1;1;baixa;0.0;;;True;True;5.598061044900559;0.0;False
B1402192100000;O CASAMENTO DE GORETE;2014;Renúncia — Art.3/3-A/39;;;;;05776048000100;RJ;FICÇÃO;INDEFINIDO;Renúncia pura;0.0;2647145.43;2647145.43;1854943.16;0.0;218648.5;2073591.66;;;;0.0;0.0;0;0;0;0;2.3;1;baixa;0.0;;;True;True;0.7833312203024674;0.0;False
B1402235800000;O GIGANTESCO IMÃ;2014;Renúncia — Outros Mecanismos;;;;;07947109000180;PE;DOCUMENTÁRIO;INDEFINIDO;Renúncia pura;0.0;54224.83;54224.83;7474.88;0.0;209902.56;217377.44;;;;0.0;0.0;0;0;0;0;0.0;0;;0.0;;;True;True;4.008817362820685;0.0;False
B1402245600000;O SEGREDO DOS DIAMANTES;2014;Renúncia — Outros Mecanismos;;;;;22331409000123;MG;FICÇÃO;INDEFINIDO;Renúncia pura;0.0;6127230.65;6127230.65;164328.08;0.0;358583.54;522911.62;;;;0.0;0.0;0;0;0;0;4.068;2;media;0.0;;;True;True;0.08534224511362241;0.0;False
B1600500300000;O SILÊNCIO DO CÉU;2014;Renúncia — Outros Mecanismos;;;;;05387293000125;SP;FICÇÃO;SALAS DE EXIBIÇÃO;Renúncia pura;0.0;1070868.97;1070868.97;219793.28;0.0;594723.92;814517.2000000001;;;;0.0;0.0;0;0;0;0;4.1;1;baixa;0.0;;;True;True;0.760613317612518;0.0;False
B1402197800000;O ÚLTIMO CINE DRIVE-IN;2014;Renúncia — Art.3/3-A/39;;;;;08847593000138;DF;FICÇÃO;INDEFINIDO;sem inv.;0.0;0.0;0.0;262535.28;0.0;349837.6;612372.88;;;;0.0;0.0;0;0;0;0;4.2;1;baixa;0.0;;;False;False;;;False
B1500897000000;O ÚLTIMO VIRGEM;2014;Renúncia — Art.3/3-A/39;;;;;13538544000153;RJ;FICÇÃO;SALAS DE EXIBIÇÃO;Renúncia pura;0.0;1049512.8;1049512.8;2549311.8;0.0;209902.56;2759214.36;;;;0.0;0.0;0;0;0;0;2.6;1;baixa;0.0;;;True;True;2.629043075987258;0.0;False
B1402271000000;OS CARAS DE PAU;2014;Renúncia — Art.3/3-A/39;;;;;09558964000124;RJ;FICÇÃO;SALAS DE EXIBIÇÃO;Renúncia pura;0.0;5582533.5;5582533.5;37988890.8;0.0;358583.54;38347474.339999996;;;;0.0;0.0;0;0;0;0;2.4;1;baixa;7.0;0.0;0.0;True;True;6.86918839627205;0.0;False
