cnpj;n_obras;fsa_mi;receita_crt_mi;pub_por_mi_fsa;tem_intl;pct_sala;tipo;s16_perfil;uf
10823162000183;1;0.04956654;0.0;0.0;False;0.0;Independente fora da sala;Emergentes / micro;
10831015000155;1;1.86291041;0.08477188000000001;126.6834941353943;False;100.0;Pequeno Porte de Sala;Emergentes / micro;
11101993000104;2;0.37526407;0.778754;26935.698906639263;True;100.0;Vitrine Internacional;Prestígio internacional;
11140814000148;1;2.888802;0.09326064;229.50690286146298;False;100.0;Pequeno Porte de Sala;;
11223363000102;1;0.34292391;0.0;0.0;False;0.0;Independente fora da sala;Produção para TV/VoD;
11274042000137;2;0.06210924;0.0;0.0;False;0.0;Independente fora da sala;Emergentes / micro;
11280934000140;1;1.8830943100000002;0.32142768;4665.724894044207;False;100.0;Pequeno Porte de Sala;Produção para TV/VoD;
11360555000160;1;2.2022055;0.18778648;4289.336303991612;False;100.0;Pequeno Porte de Sala;Emergentes / micro;
11384969000120;2;0.91281284;0.6352626399999999;2516.3975563709205;False;100.0;Pequeno Porte de Sala;Comerciais de sala;
11422855000127;1;2.370816;0.5545477600000001;1132.0996652629306;True;100.0;Vitrine Internacional;Emergentes / micro;
11503567000105;1;1.1555208000000001;0.954184;33052.62873675662;False;100.0;Pequeno Porte de Sala;Emergentes / micro;
11545487000104;3;2.31076095;0.80876152;7101.123982556482;True;100.0;Vitrine Internacional;Prestígio internacional;
11757060000170;1;0.14444010000000002;0.0;0.0;False;0.0;Independente fora da sala;Emergentes / micro;
11862908000120;2;0.9592821;0.41308008;453.464106126863;False;50.0;Pequeno Porte de Sala;Produção para TV/VoD;
11907529000100;1;1.1896088;0.24383533999999998;6645.8822429692855;True;100.0;Vitrine Internacional;Emergentes / micro;
11966450000150;1;1.0409077;0.001491;72.05249802648208;True;100.0;Vitrine Internacional;Emergentes / micro;
12064131000111;1;0.2636754;0.0;0.0;False;0.0;Independente fora da sala;Emergentes / micro;
12091067000168;1;1.37549585;0.07116456;56.70682321578796;False;100.0;Pequeno Porte de Sala;Produção para TV/VoD;
12106102000175;1;3.23627677;0.33279708;0.0;False;100.0;Pequeno Porte de Sala;Emergentes / micro;
12126484000107;1;0.50554035;0.10490264;2126.4375830732406;True;100.0;Vitrine Internacional;Comerciais de sala;
12325821000187;1;0.22305165;0.0;0.0;False;0.0;Independente fora da sala;Emergentes / micro;
12345593000107;3;0.83266593;0.10677360000000001;0.0;False;0.0;Independente fora da sala;Baixo retorno / nicho;
12375637000141;1;4.242144980000001;0.34125826000000004;1577.9753005989905;False;100.0;Pequeno Porte de Sala;;
12380610000147;2;4.19565198;0.45811795999999994;2237.077823599659;False;100.0;Pequeno Porte de Sala;Emergentes / micro;
12444492000193;2;0.28406552;0.0;0.0;False;0.0;Independente fora da sala;Baixo retorno / nicho;
12475126000100;1;0.75008628;0.0018289600000000001;122.652556716542;False;100.0;Pequeno Porte de Sala;Emergentes / micro;
12573633000178;1;0.13652478;0.00101388;373.5585583803907;False;100.0;Pequeno Porte de Sala;Emergentes / micro;
12580503000162;3;11.36258;5.55589568;22024.047355442162;True;100.0;Duplo Motor;Campeãs de público;
12580503000243;1;1.926408;9.074859759999999;224956.49935008577;True;100.0;Duplo Motor;;
12638556000197;1;0.45892895;0.01027796;1126.5360356979006;False;100.0;Pequeno Porte de Sala;Emergentes / micro;
12658679000190;3;2.10858503;0.08174424000000001;449.5905958319357;True;33.33333333333333;Vitrine Internacional;Comerciais de sala;
12667775000102;1;0.2370816;0.08922066000000001;0.0;False;0.0;Independente fora da sala;Produção para TV/VoD;
12751837000151;1;0.95168704;0.10376948;1069.6793769514818;False;100.0;Pequeno Porte de Sala;Emergentes / micro;
12827703000177;1;1.8098522;0.00512904;142.5530769860655;False;100.0;Pequeno Porte de Sala;Emergentes / micro;
12837401000180;2;0.9624410999999999;0.16415232000000002;389.63423320138764;False;50.0;Pequeno Porte de Sala;Produção para TV/VoD;
12906549000129;1;0.41765820000000003;0.0;0.0;False;0.0;Independente fora da sala;Baixo retorno / nicho;
12935850000160;1;0.32643463;0.08008019999999999;0.0;False;0.0;Independente fora da sala;Produção para TV/VoD;
13029754000116;1;4.4550208;0.19655524;109.53933144374994;False;100.0;Pequeno Porte de Sala;Emergentes / micro;
13044728000167;1;3.24990225;0.12174472;698.4825466673652;True;100.0;Vitrine Internacional;Produção para TV/VoD;
13124984000164;3;0.76553252;0.28943816000000006;1478.7092258340638;False;66.66666666666666;Pequeno Porte de Sala;Campeãs de público;
13188290000190;1;1.2558136899999999;0.31688552000000003;392.57415644194805;False;100.0;Pequeno Porte de Sala;Emergentes / micro;
13202884000109;1;0.48761595;0.11872442;5459.2143673725195;False;100.0;Pequeno Porte de Sala;Emergentes / micro;
