p;L
3.235955056179775635e-01;3.906378266442581126e-02
3.258426966292135019e-01;3.966950631623630125e-02
3.280898876404494402e-01;4.028714116802211559e-02
3.303370786516854340e-01;4.090653807535644254e-02
3.325842696629213724e-01;4.152831328820598411e-02
3.348314606741573107e-01;4.215019785172156169e-02
3.370786516853933046e-01;4.278452010650745513e-02
3.393258426966292429e-01;4.342972521831404281e-02
3.415730337078651813e-01;4.409396395708023442e-02
3.438202247191011751e-01;4.475820269584642602e-02
3.460674157303371135e-01;4.542832062314222652e-02
3.483146067415730518e-01;4.610425390640971594e-02
3.505617977528090456e-01;4.678527281756456740e-02
3.528089887640449840e-01;4.746775754580918882e-02
3.550561797752809223e-01;4.815167495539030007e-02
3.573033707865168607e-01;4.883616295388793632e-02
3.595505617977528545e-01;4.953442033643608300e-02
3.617977528089887929e-01;5.023622087710905015e-02
3.640449438202247312e-01;5.094164512375038562e-02
3.662921348314607251e-01;5.164706937039171414e-02
3.685393258426966634e-01;5.235308872944452463e-02
3.707865168539326017e-01;5.306640773681839396e-02
3.730337078651685956e-01;5.381030131548966700e-02
3.752808988764045339e-01;5.458404418644523942e-02
3.775280898876404723e-01;5.536247193832522645e-02
3.797752808988764106e-01;5.617092187089547939e-02
3.820224719101124045e-01;5.698641772071930123e-02
3.842696629213483428e-01;5.780292932566372804e-02
3.865168539325842811e-01;5.862420733316880267e-02
3.887640449438202750e-01;5.945329593534231377e-02
3.910112359550562133e-01;6.029416443628699690e-02
3.932584269662921517e-01;6.114138766715036810e-02
3.955056179775281455e-01;6.199161325277109669e-02
3.977528089887640839e-01;6.284667343324283617e-02
4.000000000000000222e-01;6.370368435276525798e-02
4.022471910112360161e-01;6.456148558099837620e-02
4.044943820224719544e-01;6.542131871256330611e-02
4.067415730337078927e-01;6.628721353391649196e-02
4.089887640449438311e-01;6.715452885079663259e-02
4.112359550561798249e-01;6.802516723971843704e-02
4.134831460674157633e-01;6.890162361117206646e-02
4.157303370786517016e-01;6.978297379121969901e-02
4.179775280898876955e-01;7.066862541015039856e-02
4.202247191011236338e-01;7.155891650803783421e-02
4.224719101123595721e-01;7.245699742039357627e-02
4.247191011235955660e-01;7.336028457692279903e-02
4.269662921348315043e-01;7.427031346109548571e-02
4.292134831460674427e-01;7.519360531244742574e-02
4.314606741573033810e-01;7.612353954672010370e-02
4.337078651685393749e-01;7.706007797158528905e-02
4.359550561797753132e-01;7.800637880223496023e-02
4.382022471910112515e-01;7.897166934090026069e-02
4.404494382022472454e-01;7.994960769564510294e-02
4.426966292134831837e-01;8.093031946559112177e-02
4.449438202247191221e-01;8.192804298297598486e-02
4.471910112359551159e-01;8.296037116186652516e-02
4.494382022471910543e-01;8.400542578389641468e-02
4.516853932584269926e-01;8.505849460367306825e-02
4.539325842696629865e-01;8.611424067438870622e-02
4.561797752808989248e-01;8.717115165131721077e-02
4.584269662921348631e-01;8.823393363334311457e-02
4.606741573033708015e-01;8.931770629763104152e-02
4.629213483146067953e-01;9.043709851195907978e-02
4.651685393258427337e-01;9.155649072628713192e-02
4.674157303370786720e-01;9.267588294061517018e-02
4.696629213483146659e-01;9.379781156329640435e-02
4.719101123595506042e-01;9.491998979852737939e-02
4.741573033707865426e-01;9.605576251928037157e-02
4.764044943820225364e-01;9.719657585010975376e-02
4.786516853932584747e-01;9.833738918093913595e-02
4.808988764044944131e-01;9.947918167372506171e-02
4.831460674157304069e-01;1.006358869618640406e-01
4.853932584269663453e-01;1.018271913903721348e-01
4.876404494382022836e-01;1.030195692779184574e-01
4.898876404494382220e-01;1.042119471654647939e-01
4.921348314606742158e-01;1.054407983690969497e-01
4.943820224719101541e-01;1.066909609365399303e-01
4.966292134831460925e-01;1.079555629556808449e-01
4.988764044943820863e-01;1.092213079840997914e-01
5.011235955056180247e-01;1.104980656698520830e-01
5.033707865168539630e-01;1.117821892486303981e-01
5.056179775280899014e-01;1.130725994722435734e-01
5.078651685393258397e-01;1.143858085414113518e-01
5.101123595505618891e-01;1.157066701113434737e-01
5.123595505617978274e-01;1.170318928163310845e-01
5.146067415730337657e-01;1.183577506664372225e-01
5.168539325842697041e-01;1.196862281439696057e-01
